BHK,project,Location,City,Total sqft,price_sqft,price in Lakh
2,RRB Satra HarmonyChembur,Chembur,Mumbai,739,23681,175
2,RRB Satra HarmonyChembur,Chembur,Mumbai,507,25692,130
2,RRB Satra HarmonyChembur,Chembur,Mumbai,506,25692,130
2,SHREE KRISHNA SangamChembur,Chembur,Mumbai,684,31000,212
2,SHREE KRISHNA SangamChembur,Chembur,Mumbai,617,31000,191
1,Ekdanta 24 KaratKurla,Kurla,Mumbai,447,21973,97.99
3,Liberty Bay VueMalad West,Malad West,Mumbai,1150,21000,241
1,Liberty Bay VueMalad West,Malad West,Mumbai,501,21000,105
2,Liberty Bay VueMalad West,Malad West,Mumbai,623,21000,130
2,Liberty Bay VueMalad West,Malad West,Mumbai,631,21000,132
2,Liberty Bay VueMalad West,Malad West,Mumbai,744,21000,156
3,Kalpataru Park RivieraPanvel,Panvel,Mumbai,868,14861,129
2,Kalpataru Park RivieraPanvel,Panvel,Mumbai,687,15574,107
2,Kalpataru Park RivieraPanvel,Panvel,Mumbai,636,15723,100
2,Kalpataru Park RivieraPanvel,Panvel,Mumbai,691,15629,108
2,Kalpataru Park RivieraPanvel,Panvel,Mumbai,674,15727,106
2,Kalpataru Park RivieraPanvel,Panvel,Mumbai,680,15588,106
2,Kalpataru Park RivieraPanvel,Panvel,Mumbai,631,15768,99.5
3,Kalpataru Park RivieraPanvel,Panvel,Mumbai,862,13921,120
2,Kalpataru Park RivieraPanvel,Panvel,Mumbai,682,15542,106
2,Kalpataru Park RivieraPanvel,Panvel,Mumbai,616,15746,97
1,Puraniks City Sector 1Neral,Neral,Mumbai,368,5771,21.23
2,SHREE KRISHNA PinnacleChembur,Chembur,Mumbai,735,26531,195
2,Siddhivinayak Siddhivinayak GauravTaloja,Taloja,Mumbai,990,4591,45.45
1,Siddhivinayak Siddhivinayak GauravTaloja,Taloja,Mumbai,695,4576,31.8
2,Mahaavir PrideDombivali,Dombivali,Mumbai,576,10416,60
2,Mahaavir PrideDombivali,Dombivali,Mumbai,576,10416,60
1,Mahaavir PrideDombivali,Dombivali,Mumbai,433,10392,45
1,Mahaavir PrideDombivali,Dombivali,Mumbai,433,10392,45
2,Mahaavir PrideDombivali,Dombivali,Mumbai,694,10230,71
2,Mahaavir PrideDombivali,Dombivali,Mumbai,694,10230,71
3,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1835,12043,220
3,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1835,12043,220
3,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1835,12043,220
3,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1835,12043,220
2,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1245,12048,149
2,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1245,12048,149
3,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1745,11977,208
3,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1745,11977,208
2,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1335,12659,168
2,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1335,12659,168
2,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,542,9207,49.9
1,Kalpataru Vivant South Wing BAndheri East,Andheri East,Mumbai,424,28067,119
2,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,451,9146,41.24
1,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,330,9309,30.71
1,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,326,9488,30.93
2,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,513,8544,43.83
2,Lalani Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,613,22800,139
1,Lalani Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,405,22800,92.34
1,A Plus Golden VanVangani,Vangani,Mumbai,241,2701,6.5
2,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,770,3849,29.64
2,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,790,3849,30.41
1,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,540,3850,20.79
1,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,605,3849,23.29
1,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,430,3848,16.55
2,Royal PristoMalad East,Malad East,Mumbai,646,22601,146
1,Royal PristoMalad East,Malad East,Mumbai,323,21641,69.9
2,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,595,21386,127
1,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,418,21550,90.08
2,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,584,21393,124
1,Hirani ShantidhamVikhroli,Vikhroli,Mumbai,444,19943,88.54
1,Hirani ShantidhamVikhroli,Vikhroli,Mumbai,390,20014,78.05
1,Hirani ShantidhamVikhroli,Vikhroli,Mumbai,408,19988,81.55
3,Nrose Northern HillsDahisar,Dahisar,Mumbai,1093,20768,227
2,Nrose Northern HillsDahisar,Dahisar,Mumbai,701,21255,149
1,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,437,22196,97
2,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,619,23424,145
1,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,434,22119,96
1,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,385,22857,88
1,B G Shirke Teenmurty SummitBorivali East,Borivali East,Mumbai,477,25157,120
1,B G Shirke Teenmurty SummitBorivali East,Borivali East,Mumbai,584,24828,145
2,B G Shirke Teenmurty SummitBorivali East,Borivali East,Mumbai,712,23876,170
2,B G Shirke Teenmurty SummitBorivali East,Borivali East,Mumbai,871,26406,230
1,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,502,3298,16.56
1,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,635,3299,20.95
1,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,535,3299,17.65
1,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,565,3299,18.64
1,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,380,3600,13.68
3,S Square Rudraksh Heritage Wing A And Wing BMulund West,Mulund West,Mumbai,1292,29179,377
2,S Square Rudraksh Heritage Wing A And Wing BMulund West,Mulund West,Mumbai,758,29683,225
1,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,345,5771,19.91
1,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,352,5823,20.5
1,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,294,5442,16
1,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,366,5814,21.28
1,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,333,5804,19.33
1,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,358,5835,20.89
1,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,372,5825,21.67
1,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,380,5805,22.06
1,B G Shirke Monte Verita North AnnexeBorivali East,Borivali East,Mumbai,380,23157,88
2,B G Shirke Monte Verita North AnnexeBorivali East,Borivali East,Mumbai,764,24214,185
2,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,708,15408,109
3,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,923,15260,140
